feature,importance,treatment
family_size_unknown,0.011335565493152856,treatment_drugstore items
no_of_children_1,0.004155551649923996,treatment_drugstore items
no_of_children_2,0.003684296392942142,treatment_drugstore items
no_of_children_3+,0.0016618707882519947,treatment_drugstore items
no_of_children_unknown,0.012457662569398023,treatment_drugstore items
income_bracket_1.0,0.03082168755597963,treatment_drugstore items
income_bracket_2.0,0.003193827823361436,treatment_drugstore items
income_bracket_3.0,1.8328757572008114e-05,treatment_drugstore items
income_bracket_4.0,0.007804562244231479,treatment_drugstore items
income_bracket_5.0,0.007300012353787138,treatment_drugstore items
income_bracket_6.0,0.005487166670122754,treatment_drugstore items
income_bracket_7.0,9.164378786004056e-05,treatment_drugstore items
income_bracket_8.0,0.0009362347632760874,treatment_drugstore items
income_bracket_9.0,5.672882675331469e-06,treatment_drugstore items
income_bracket_10.0,0.0,treatment_drugstore items
income_bracket_11.0,0.0,treatment_drugstore items
income_bracket_12.0,0.0,treatment_drugstore items
income_bracket_unknown,0.010512305380249663,treatment_drugstore items
lagged_spend_other food,0.13099218933808127,treatment_drugstore items
lagged_spend_other non-food products,0.07014175789470542,treatment_drugstore items
lagged_spend_ready-to-eat food,0.07541062994659858,treatment_drugstore items
lagged_spend_drugstore items,0.1096077243045813,treatment_drugstore items
lagged_spend_meat/seafood,0.09076669644623121,treatment_drugstore items
lagged_coupon_drugstore items,0.005701520151319154,treatment_drugstore items
lagged_coupon_meat/seafood,0.021196985848389294,treatment_drugstore items
lagged_coupon_other food,0.006992405805407344,treatment_drugstore items
lagged_coupon_other non-food products,0.0,treatment_drugstore items
lagged_coupon_ready-to-eat food,0.018330725077053613,treatment_drugstore items
lagged_coupon_Any Coupon,0.007248873779059054,treatment_drugstore items
lagged_redemption_drugstore items,0.0,treatment_drugstore items
lagged_redemption_meat/seafood,0.0,treatment_drugstore items
lagged_redemption_other food,0.00038656691779312446,treatment_drugstore items
lagged_redemption_ready-to-eat food,0.0,treatment_drugstore items
lagged_redemption_Any Coupon,0.0016127687751177303,treatment_drugstore items
FE_period_0,0.0,treatment_drugstore items
FE_period_2,0.0,treatment_drugstore items
FE_period_3,0.0,treatment_drugstore items
FE_period_4,7.627990100042605e-05,treatment_drugstore items
FE_period_5,0.0,treatment_drugstore items
FE_period_6,0.0,treatment_drugstore items
FE_period_7,9.460865857243416e-05,treatment_drugstore items
FE_period_8,0.0,treatment_drugstore items
FE_period_9,0.0008811589699378543,treatment_drugstore items
FE_period_10,0.0,treatment_drugstore items
FE_period_11,1.1345765350662938e-05,treatment_drugstore items
FE_period_12,1.2655874896676646e-05,treatment_drugstore items
FE_period_13,0.0,treatment_drugstore items
FE_period_14,0.0,treatment_drugstore items
FE_period_15,0.0,treatment_drugstore items
FE_period_16,0.0,treatment_drugstore items
FE_period_17,0.0,treatment_drugstore items
FE_period_18,0.0,treatment_drugstore items
FE_period_19,0.0,treatment_drugstore items
FE_period_20,0.0,treatment_drugstore items
FE_period_21,0.10186358564573934,treatment_drugstore items
FE_period_22,2.5311749793353292e-05,treatment_drugstore items
FE_period_23,0.0,treatment_drugstore items
FE_period_24,0.0,treatment_drugstore items
FE_period_25,0.0,treatment_drugstore items
FE_period_26,2.2691530701325875e-05,treatment_drugstore items
FE_period_27,0.0,treatment_drugstore items
FE_period_28,0.0,treatment_drugstore items
FE_period_29,0.014221760866914382,treatment_drugstore items
FE_period_30,0.07302664010195048,treatment_drugstore items
FE_period_31,0.0,treatment_drugstore items
FE_period_32,0.0,treatment_drugstore items
FE_period_33,5.672882675331469e-06,treatment_drugstore items
treatment_meat/seafood,0.012952210867451026,treatment_drugstore items
treatment_other food,0.0,treatment_drugstore items
treatment_other non-food products,0.0,treatment_drugstore items
treatment_ready-to-eat food,0.017970029108395784,treatment_drugstore items
age_range_18-25,0.0002197567199782056,treatment_other food
age_range_26-35,0.0020050221304557503,treatment_other food
age_range_36-45,0.005405742332803798,treatment_other food
age_range_46-55,0.023764017509937337,treatment_other food
age_range_56-70,0.0002051008526457034,treatment_other food
age_range_70+,0.0002220100731854314,treatment_other food
age_range_unknown,0.014441523867604078,treatment_other food
marital_status_Married,0.014510949905997187,treatment_other food
marital_status_Single,0.0063201190935719105,treatment_other food
marital_status_unknown,0.016704661842282316,treatment_other food
rented_0.0,0.014966144888651813,treatment_other food
rented_1.0,0.0003882314526275414,treatment_other food
rented_unknown,0.01708906780391635,treatment_other food
family_size_1,0.01655098854827181,treatment_other food
family_size_2,0.014403011740187276,treatment_other food
family_size_3,0.002369844969005799,treatment_other food
family_size_4,0.00015567062338449458,treatment_other food
family_size_5+,0.0007643703291194017,treatment_other food
family_size_unknown,0.018304562964374382,treatment_other food
no_of_children_1,0.0013139382906818568,treatment_other food
no_of_children_2,0.00041430681656629356,treatment_other food
no_of_children_3+,0.0008494897117251944,treatment_other food
no_of_children_unknown,0.01784574602161537,treatment_other food
income_bracket_1.0,0.0033665014219399422,treatment_other food
income_bracket_2.0,0.006521650206454944,treatment_other food
income_bracket_3.0,8.222719922190927e-05,treatment_other food
income_bracket_4.0,0.00466481262928474,treatment_other food
income_bracket_5.0,0.006410835425018856,treatment_other food
income_bracket_6.0,0.0015095780844918494,treatment_other food
